INFO:__main__:Initialize the dataset...
INFO:__main__:Finish the dataset initialization.
INFO:__main__:Define the Network Structure and Losses
INFO:__main__:Finish Define the Network Structure and Losses
INFO:__main__:Start Training...
INFO:__main__:Epoch 0, [3500/7180]: Batch Time:2.1173,	 Data Time:0.0001, Whole Gen Loss:0.4739	,Recon Loss:0.4689,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3550/7180]: Batch Time:2.0007,	 Data Time:0.0001, Whole Gen Loss:0.4790	,Recon Loss:0.4740,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3600/7180]: Batch Time:1.9287,	 Data Time:0.0001, Whole Gen Loss:0.3943	,Recon Loss:0.3893,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3650/7180]: Batch Time:1.9829,	 Data Time:0.0001, Whole Gen Loss:0.5026	,Recon Loss:0.4976,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3700/7180]: Batch Time:2.0026,	 Data Time:0.0001, Whole Gen Loss:0.3956	,Recon Loss:0.3906,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3750/7180]: Batch Time:2.0140,	 Data Time:0.0001, Whole Gen Loss:0.5016	,Recon Loss:0.4966,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3800/7180]: Batch Time:1.9649,	 Data Time:0.0001, Whole Gen Loss:0.4974	,Recon Loss:0.4924,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3850/7180]: Batch Time:2.0604,	 Data Time:0.0001, Whole Gen Loss:0.4154	,Recon Loss:0.4104,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3900/7180]: Batch Time:2.1497,	 Data Time:0.0001, Whole Gen Loss:0.5077	,Recon Loss:0.5027,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [3950/7180]: Batch Time:2.0009,	 Data Time:0.0001, Whole Gen Loss:0.4329	,Recon Loss:0.4279,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4000/7180]: Batch Time:2.2050,	 Data Time:0.0001, Whole Gen Loss:0.4528	,Recon Loss:0.4478,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4050/7180]: Batch Time:1.9487,	 Data Time:0.0001, Whole Gen Loss:0.5516	,Recon Loss:0.5466,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4100/7180]: Batch Time:1.9351,	 Data Time:0.0001, Whole Gen Loss:0.4186	,Recon Loss:0.4136,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4150/7180]: Batch Time:1.9315,	 Data Time:0.0001, Whole Gen Loss:0.4658	,Recon Loss:0.4608,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4200/7180]: Batch Time:2.0046,	 Data Time:0.0001, Whole Gen Loss:0.3740	,Recon Loss:0.3690,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4250/7180]: Batch Time:1.9601,	 Data Time:0.0002, Whole Gen Loss:0.5190	,Recon Loss:0.5140,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4300/7180]: Batch Time:2.0871,	 Data Time:0.0001, Whole Gen Loss:0.3918	,Recon Loss:0.3868,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4350/7180]: Batch Time:2.1479,	 Data Time:0.0001, Whole Gen Loss:0.4455	,Recon Loss:0.4405,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4400/7180]: Batch Time:1.9918,	 Data Time:0.0001, Whole Gen Loss:0.6720	,Recon Loss:0.6670,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4450/7180]: Batch Time:2.1161,	 Data Time:0.0001, Whole Gen Loss:0.3662	,Recon Loss:0.3612,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4500/7180]: Batch Time:2.0592,	 Data Time:0.0001, Whole Gen Loss:0.3759	,Recon Loss:0.3709,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4550/7180]: Batch Time:2.0764,	 Data Time:0.0001, Whole Gen Loss:0.3911	,Recon Loss:0.3861,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4600/7180]: Batch Time:2.1371,	 Data Time:0.0001, Whole Gen Loss:0.4625	,Recon Loss:0.4575,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4650/7180]: Batch Time:1.9196,	 Data Time:0.0001, Whole Gen Loss:0.4117	,Recon Loss:0.4067,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4700/7180]: Batch Time:2.1330,	 Data Time:0.0001, Whole Gen Loss:0.4798	,Recon Loss:0.4748,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4750/7180]: Batch Time:1.9906,	 Data Time:0.0001, Whole Gen Loss:0.4370	,Recon Loss:0.4320,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4800/7180]: Batch Time:1.9207,	 Data Time:0.0001, Whole Gen Loss:0.6666	,Recon Loss:0.6616,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4850/7180]: Batch Time:2.0443,	 Data Time:0.0001, Whole Gen Loss:0.4628	,Recon Loss:0.4578,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4900/7180]: Batch Time:1.9403,	 Data Time:0.0001, Whole Gen Loss:0.4619	,Recon Loss:0.4569,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [4950/7180]: Batch Time:1.9269,	 Data Time:0.0001, Whole Gen Loss:0.4975	,Recon Loss:0.4925,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5000/7180]: Batch Time:2.1382,	 Data Time:0.0001, Whole Gen Loss:0.4259	,Recon Loss:0.4209,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5050/7180]: Batch Time:1.9521,	 Data Time:0.0001, Whole Gen Loss:0.4177	,Recon Loss:0.4127,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5100/7180]: Batch Time:1.9891,	 Data Time:0.0001, Whole Gen Loss:0.4044	,Recon Loss:0.3994,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5150/7180]: Batch Time:2.0026,	 Data Time:0.0001, Whole Gen Loss:0.4240	,Recon Loss:0.4190,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5200/7180]: Batch Time:1.9639,	 Data Time:0.0001, Whole Gen Loss:0.3999	,Recon Loss:0.3949,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5250/7180]: Batch Time:1.9234,	 Data Time:0.0001, Whole Gen Loss:0.4456	,Recon Loss:0.4406,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5300/7180]: Batch Time:1.9915,	 Data Time:0.0001, Whole Gen Loss:0.4072	,Recon Loss:0.4022,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5350/7180]: Batch Time:2.0206,	 Data Time:0.0001, Whole Gen Loss:0.4907	,Recon Loss:0.4857,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5400/7180]: Batch Time:2.0962,	 Data Time:0.0001, Whole Gen Loss:0.3606	,Recon Loss:0.3556,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5450/7180]: Batch Time:2.0231,	 Data Time:0.0001, Whole Gen Loss:0.3971	,Recon Loss:0.3921,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5500/7180]: Batch Time:1.9042,	 Data Time:0.0001, Whole Gen Loss:0.4348	,Recon Loss:0.4298,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5550/7180]: Batch Time:2.0338,	 Data Time:0.0001, Whole Gen Loss:0.3973	,Recon Loss:0.3923,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5600/7180]: Batch Time:2.0971,	 Data Time:0.0001, Whole Gen Loss:0.4026	,Recon Loss:0.3976,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5650/7180]: Batch Time:1.8988,	 Data Time:0.0001, Whole Gen Loss:0.3903	,Recon Loss:0.3853,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5700/7180]: Batch Time:1.9106,	 Data Time:0.0001, Whole Gen Loss:0.3912	,Recon Loss:0.3862,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5750/7180]: Batch Time:1.9203,	 Data Time:0.0001, Whole Gen Loss:0.4449	,Recon Loss:0.4399,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5800/7180]: Batch Time:1.9775,	 Data Time:0.0001, Whole Gen Loss:0.4301	,Recon Loss:0.4251,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5850/7180]: Batch Time:1.9120,	 Data Time:0.0001, Whole Gen Loss:0.3920	,Recon Loss:0.3870,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5900/7180]: Batch Time:1.9168,	 Data Time:0.0001, Whole Gen Loss:0.3905	,Recon Loss:0.3855,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [5950/7180]: Batch Time:1.9264,	 Data Time:0.0001, Whole Gen Loss:0.3678	,Recon Loss:0.3628,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6000/7180]: Batch Time:1.9478,	 Data Time:0.0001, Whole Gen Loss:0.3865	,Recon Loss:0.3815,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6050/7180]: Batch Time:1.9381,	 Data Time:0.0001, Whole Gen Loss:0.4241	,Recon Loss:0.4191,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6100/7180]: Batch Time:2.0922,	 Data Time:0.0001, Whole Gen Loss:0.3990	,Recon Loss:0.3940,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6150/7180]: Batch Time:1.9155,	 Data Time:0.0001, Whole Gen Loss:0.4916	,Recon Loss:0.4866,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6200/7180]: Batch Time:1.9923,	 Data Time:0.0001, Whole Gen Loss:0.4245	,Recon Loss:0.4195,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6250/7180]: Batch Time:2.1226,	 Data Time:0.0001, Whole Gen Loss:0.4024	,Recon Loss:0.3974,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6300/7180]: Batch Time:2.1374,	 Data Time:0.0001, Whole Gen Loss:0.3480	,Recon Loss:0.3430,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6350/7180]: Batch Time:1.9604,	 Data Time:0.0001, Whole Gen Loss:0.4140	,Recon Loss:0.4090,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6400/7180]: Batch Time:1.9394,	 Data Time:0.0001, Whole Gen Loss:0.4256	,Recon Loss:0.4206,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Validation Epoch 0, [100/100]: Batch Time:0.0316,	 Data Time:0.0000,	 Whole Gen Loss:1.5654	,Recon Loss:1.5604,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6450/7180]: Batch Time:1.9036,	 Data Time:0.0001, Whole Gen Loss:0.4698	,Recon Loss:0.4648,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6500/7180]: Batch Time:1.9368,	 Data Time:0.0001, Whole Gen Loss:0.3837	,Recon Loss:0.3787,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6550/7180]: Batch Time:1.9841,	 Data Time:0.0001, Whole Gen Loss:0.4408	,Recon Loss:0.4358,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6600/7180]: Batch Time:2.0607,	 Data Time:0.0001, Whole Gen Loss:0.4036	,Recon Loss:0.3986,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6650/7180]: Batch Time:1.9432,	 Data Time:0.0001, Whole Gen Loss:0.4666	,Recon Loss:0.4616,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [6700/7180]: Batch Time:2.1064,	 Data Time:0.0001, Whole Gen Loss:0.6285	,Recon Loss:0.6235,	 GAN Loss:0.0050,	 D Loss:0.0000
